Data array voltage (V), SRAM cell nfet on current (A/um), SRAM cell nfet off current (A/um), SRAM cell pfet on current UNUSED (A/um), SRAM cell pfet off current UNUSED (A/um), SRAM cell nfet on resistance (ohm-um), SRAM cell pfet on resistance (ohm-um), Access time (ns), Cycle time (ns), Dynamic read energy per access (nJ), Leakage power data cells (mW), Leakage current per data cell (A), Leakage power data bank (mW), Leakage power tag bank (mW), Total leakage power (mW), Data cells / data array power, Data cells / total power, Tag cells / tag array power, Tag cells / total power, No. banks
0.19, 1.16438e-05, 3.2508e-07, 1.5974e-07, 6.307e-10, 24639.7, 59381.7, 8.60181, 8.14244, 0.298768, 158.191, 4.96259e-08, 460.756, 232.833, 2774.36, 0.343329, 0.228076, 0.880653, 0.295629, 4
0.18, 9.6908e-06, 3.1584e-07, 1.1557e-07, 6.0116e-10, 28047.2, 67593.8, 9.52371, 9.06434, 0.297997, 145.603, 4.82147e-08, 448.169, 232.833, 2724.01, 0.324885, 0.213808, 0.880653, 0.301093, 4
0.17, 8.029e-06, 3.0674e-07, 8.33e-08, 5.7232e-10, 31971.6, 77051.6, 10.5859, 10.1265, 0.297226, 133.55, 4.68249e-08, 436.116, 232.833, 2675.79, 0.306227, 0.199642, 0.880653, 0.306518, 4
0.16, 6.6234e-06, 2.9778e-07, 5.9822e-08, 5.4418e-10, 36476.7, 87908.9, 11.8055, 11.3461, 0.296455, 122.021, 4.54565e-08, 424.587, 232.833, 2629.68, 0.287388, 0.185606, 0.880653, 0.311894, 4
0.15, 5.4432e-06, 2.8896e-07, 4.2798e-08, 5.1674e-10, 41611.6, 100284, 13.1957, 12.7363, 0.295685, 111.005, 4.41094e-08, 413.57, 232.833, 2585.61, 0.268407, 0.171727, 0.880653, 0.317209, 4
0.14, 4.4548e-06, 2.8014e-07, 3.0506e-08, 4.8972e-10, 47454.4, 114365, 14.7775, 14.3182, 0.294915, 100.441, 4.27625e-08, 403.006, 232.833, 2543.36, 0.249229, 0.157966, 0.880653, 0.322479, 4
0.13, 3.6316e-06, 2.7146e-07, 2.1658e-08, 4.6326e-10, 54053.3, 130268, 16.5636, 16.1042, 0.294144, 90.3754, 4.14369e-08, 392.941, 232.833, 2503.09, 0.229998, 0.144422, 0.880653, 0.327666, 4
0.12, 2.9484e-06, 2.6264e-07, 1.5316e-08, 4.3694e-10, 61457.1, 148112, 18.5664, 18.107, 0.293375, 80.7117, 4.00899e-08, 383.277, 232.833, 2464.44, 0.210583, 0.131002, 0.880653, 0.332806, 4
0.11, 2.3814e-06, 2.5368e-07, 1.07744e-08, 4.109e-10, 69748.9, 168095, 20.8079, 20.3485, 0.292605, 71.4605, 3.87216e-08, 374.026, 232.833, 2427.43, 0.191058, 0.117755, 0.880653, 0.337879, 4
0.1, 1.9152e-06, 2.4472e-07, 7.5376e-09, 3.8472e-10, 78842.9, 190011, 23.263, 22.8036, 0.291835, 62.6685, 3.73533e-08, 365.234, 232.833, 2392.27, 0.171585, 0.104785, 0.880653, 0.342846, 4
